,omega,tau,p,d,alpha
0,2.400247964468862,0.0700188044714488,-4.999978530884291,-4.99983759075039,1.2362882382361523e-05
1,2.400247964468862,0.0700188044714488,-4.999978530884291,-4.99983759075039,0.111118208392221
2,2.400247964468862,0.0700188044714488,-4.999978530884291,-4.99983759075039,1.2362882382361523e-05
3,2.400247964468862,0.0700188044714488,-4.522089855077958,-4.99983759075039,1.2362882382361523e-05
4,2.400247964468862,0.0700188044714488,-4.044201179271625,-4.99983759075039,1.2362882382361523e-05
5,2.400247964468862,0.0700188044714488,-3.566312503465293,-4.99983759075039,1.2362882382361523e-05
6,2.400247964468862,0.0700188044714488,-3.08842382765896,-4.99983759075039,1.2362882382361523e-05
7,2.400247964468862,0.0700188044714488,-2.6105351518526274,-4.99983759075039,1.2362882382361523e-05
8,2.400247964468862,0.0700188044714488,-2.132646476046295,-4.99983759075039,1.2362882382361523e-05
9,2.400247964468862,0.0700188044714488,-1.6547578002399623,-4.99983759075039,1.2362882382361523e-05
10,2.400247964468862,0.0700188044714488,-1.1768691244336296,-4.99983759075039,1.2362882382361523e-05
